User,Date Created,Tweets
kcrusher,2023-02-28 20:46:32+00:00,"@AppleSupport Whatever happened to accountability? When I worked at Avid, if you took the call, you took the case and saw it all the way through. You couldn't pass the buck without also being held accountable for it's resolution."
AppleSupport,2023-02-28 20:44:26+00:00,"@x3er We’d like to learn more about this issue you’re having with Freeform. What happens when you try to share a new document? Are you receiving any specific error messages? Send us a DM, and we’ll look into this together. https://t.co/GDrqU22YpT"
god_munky,2023-02-28 20:42:13+00:00,@AppleSupport @tim_cook AppleTv has some of the most beautiful screen savers I have ever seen any way to port them over to my Mac or just watch them at my leisure? @AppleTV
mora_hlc,2023-02-28 20:41:46+00:00,"@AppleSupport Just bought an Macbook air 2020 and it has shut down 2 times like it has run out of battery but when I plug it, the battery appears to be at 57%"
KBittermanGross,2023-02-28 20:39:44+00:00,@AppleSupport Thanks
AppleSupport,2023-02-28 20:35:10+00:00,"@MrRobiiin We’d like to take a further look into this, and help find the solution. Please DM us what message they see when attempting to view Apple Music, and we’ll get started there. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:32:25+00:00,"@Guenter_AfD In this case, you’ll want to select the appropriate device and provide the feedback there. Here’s a quick link to the iPhone feedback page: https://t.co/O0Ad5McAEB 

If you’d like to discuss this further, send us a DM. We’ll take it from there. https://t.co/GDrqU22YpT"
King_Cole91,2023-02-28 20:32:18+00:00,@AppleSupport are terrible it’s so ridiculous that they don’t help with recovery key these thieving people just want you to spend money and your time on going back and forth by saying without the recovery key they can’t help even android is better than them
King_Cole91,2023-02-28 20:31:23+00:00,@Apple @AppleSupport are terrible it’s so ridiculous that they don’t help with recovery key these thieving people just want you to spend money and your time on going back and forth by saying without the recovery key they can’t help even android is better than them
x3er,2023-02-28 20:29:20+00:00,@AppleSupport why is Freeform not listed on this page? Sharing of new documents is down for me (existing shares still work). https://t.co/pa6CcmivIb
AppleSupport,2023-02-28 20:23:47+00:00,"@DrTigger We appreciate you reaching out to us about this, and we’d be happy to see how we can help. Please meet us in DM and we’ll continue working from there. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:21:09+00:00,"@onikamine We want to ensure that you can enjoy your new iPhone so let’s look into this together to see what’s going on. Please join us in Direct Message and let us know what iOS version is installed as well as more details about what’s up. This way, we can best provide help. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:21:02+00:00,"@MazidulZaman We’d like to learn more about your issue. Does this issue with the keyboard only occur on this website? Which app are you using? Send us a DM, and we’ll look into this together. https://t.co/GDrqU22YpT"
MrRobiiin,2023-02-28 20:18:17+00:00,@AppleSupport I added a new member to my apple one “ family “. We can’t make him access to my Apple Music subscription .. is there a delay ? We already followed the Apple Support website’s process #Help
AppleSupport,2023-02-28 20:18:17+00:00,"@MissLagostin Hi there. We’ll be glad to help you out with Apple Music. To start, let us know what happens when you try to use the service. Let us know in a DM and we’ll help further from there: https://t.co/GDrqU22YpT"
Guenter_AfD,2023-02-28 20:17:23+00:00,@AppleSupport But I can't find any remotely useful information about my problem
AppleSupport,2023-02-28 20:15:24+00:00,"@Sean_M_Allen Allow us to help out. It could be a phishing attempt. We’d recommend using the following for help with identifying these attempts: https://t.co/U9IFKYxXFa 

Have additional questions? Send us a DM. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:14:23+00:00,"@KBittermanGross If you’re looking for assistance, we’re here for you! While we may need to focus our attention on a single issue at a time, we’re happy to assist with any and all concerns you may have. 

Let us know what you need help with in DM, we’ll work together from there. https://t.co/GDrqU22YpT"
DrTigger,2023-02-28 20:09:39+00:00,"@AppleSupport So why are the claims of apps constantly refreshing, Twitter, Truth, Safari, and Apple apps &amp; others not being addressed. Plenty of complaints on Apple support. It all started with iOS 16"
MazidulZaman,2023-02-28 20:09:29+00:00,"@Apple @AppleSupport what is going, now, how can I type anything? I need to replace this iPhone. #iPhone #iphone12 https://t.co/5WcYKy8elL"
AppleSupport,2023-02-28 20:07:38+00:00,"@Guenter_AfD We’re here to help. While some controls can be rearranged in the Control Center, this is not supported for the display brightness: https://t.co/pUMiioGuj6 

Feel free to share feedback here: https://t.co/eTPVYVFyd8"
AppleSupport,2023-02-28 20:03:16+00:00,"@ShahabZargari We understand the importance of opening your files. We’ll help however we can. Check out the information provided at https://t.co/o2OyuZLwEa If you’ve confirmed the file type is compatible with QuickTime and isn’t working, let us know in DM. https://t.co/GDrqU22YpT"
borjacajal,2023-02-28 19:57:26+00:00,There you go. So you can see #apple @Apple @AppleSupport @9to5mac @zollotech #bug #macos #ventura https://t.co/kdE2T5yobn
borjacajal,2023-02-28 19:56:23+00:00,"(2/2) I’m the #1 in the world to notice this bug.
#Apple #bug #macOS #Ventura @Apple @AppleSupport @zollotech @9to5mac #macbookpro #m2pro #applesilicon"
onikamine,2023-02-28 19:56:14+00:00,"Brand new iPhone 14 pro 
Notification bar is shaky 
Screen is shaky when rebooted 
Ear speaker sometimes sounds like a box 
Video is delayed before even recording ! 
What’s going on ?????? 
#apple #iphone #help #software @Apple @AppleSupport"
KBittermanGross,2023-02-28 19:55:33+00:00,@AppleSupport Apple default support page does no allow cross-device requests.
borjacajal,2023-02-28 19:54:43+00:00,@Apple @AppleSupport #Apple has a software bug on macOS Ventura 13.2.1. The battery indicator has a black dot on it. Apple sent me 3 different MacBook Pros 14 inch without them knowing what the problem was. After taking a screenshot I knew it was a software bug. Seems like (1/2)
Guenter_AfD,2023-02-28 19:54:38+00:00,"@AppleSupport Hello, I wanted to ask how I can bring the brightness setting and the volume setting to the other side, i.e. from left to right https://t.co/xyM91rHNvI"
siteexperts,2023-02-28 19:53:21+00:00,@BMWUSA @sprinkles19025 @BMW @BMWGroup @Apple @AppleSupport Any update.  Just got the car.  This is a huge safety issue as when the map goes haywire it draws your attention  as you attempt to figure out where you are and what is going on - especially as it keeps voicing  bad directions.   Want to send the car back.
Rahul18876252,2023-02-28 19:44:56+00:00,"@startrack @Apple @AppleSupport 
When @startrack will pickup my return order from Plumpton Marketplace Newsagency so that I can get my refund quick?
Its been a week now no action is taken from your end!!!"
AppleSupport,2023-02-28 19:41:06+00:00,@Tamarastampone You’re most welcome!
RedSlingerNYC,2023-02-28 19:39:16+00:00,"@AppleSupport aren't all websites/apps that use #SignUpWithApple supposed to have a ""Log in with Apple"" option too? @MyFitnessPal seems to have missed the memo on their website."
weirdviir,2023-02-28 19:34:54+00:00,"Hey @Apple, extremely disappointed with your service in India! Been trying to get my phone fixed for weeks but no luck. And to top it off, my warranty is ending today! What gives? 
@AppleSupport"
Altavistagoogle,2023-02-28 19:34:50+00:00,@TheJohnWilliams @AppleSupport Working again on Apple TV HD.
AppleSupport,2023-02-28 19:34:35+00:00,@Tamarastampone Great! Please feel free to reach out to us again if you need any more help. We’re available every day to answer your questions from 5 a.m.-8 p.m. Pacific. Have a great day!
Altavistagoogle,2023-02-28 19:33:17+00:00,@TheJohnWilliams @AppleSupport I got an error message on the web but it is actually working there once you tap OK. https://t.co/HcRkYXrh8F
AppleSupport,2023-02-28 19:29:20+00:00,@shankfrank We’d like to help and learn more. Please DM us if restarting your iPhone helps to hear through the receiver. This information will help us determine the next step on how to proceed. https://t.co/GDrqU22YpT
SidMercutio,2023-03-01 23:59:56+00:00,@itsdeepak_sr @AppleSupport @Apple kindly?...who? lol
Josealbertoxo,2023-03-01 23:59:14+00:00,"I demand an emoji from each planet what happens to you, we are in 2013 or that @AppleSupport"
AppleSupport,2023-03-01 23:56:38+00:00,@I_am_AVi_Ma Hello again! We’d like to continue to assist with these issues that you are experiencing. Join us back in DM and we’ll work with you there. https://t.co/GDrqU22YpT
parksachusetts,2023-03-01 23:55:58+00:00,"Thanks for the prompt reply @AppleSupport, but that seems silly. Many, many parents I know purchase an #AppleWatch for their kids to keep in contact during school weeks, but we end up getting recycled numbers and loads of junk texts. Seems like an easy fix to implement."
AppleSupport,2023-03-01 23:52:48+00:00,"@parksachusetts We’re here to help. While this isn’t supported on Apple Watch, we value your feedback. To ensure it reaches the appropriate team, share your thoughts here: https://t.co/eTPVYVFyd8"
WhiteChinese33,2023-03-01 23:51:34+00:00,@AppleSupport I was wondering if I'm the only one having issues with Apple Maps especially with CarPlay. After I use Siri with the address the map pops up for half a second and then disappears until you hit the map app again #AppleMaps
AppleSupport,2023-03-01 23:50:52+00:00,@timmer357 Hi there. We are happy to help. Can you please reply to us in DM with your device’s model and exact software version? This will help us determine how to proceed. Also this article has helpful tips if Siri is not working properly: https://t.co/tblCftNshf https://t.co/GDrqU22YpT
parksachusetts,2023-03-01 23:46:54+00:00,"Hey @Apple @AppleSupport - how come I can ‘Delete and report junk’ messages only my iPhone? My kids each have an #AppleWatch and get spam texts, but I can only delete - not mark as junk?"
timmer357,2023-03-01 23:40:55+00:00,@AppleSupport  Siri via car play is essentially unusual since last update. In all three of my cars so it’s not the vehicle. I have to say huge continuous sentences so it doesn’t stop and get its wrong 100% of the time. Garbage
AStopthemadness,2023-03-01 23:38:39+00:00,@johnrich My phone started dying everyday after this ridiculous update. This should be optional and not turned on by default. I turned it off and like magic my phone charges when I need it to not when and if the sun shines or the wind blows. @AppleSupport
plumbeing,2023-03-01 23:35:14+00:00,@JoeS3678 @Apple @AppleSupport @MKBHD @LewLater @LinusTech @YouTube Literally been doing it for ages and nothing is done each update 😡😡😡
nowyre,2023-03-01 23:30:31+00:00,@AlvaroMorte_IND @bendingspoons @Apple @AppStore @AppleSupport @focosapp Same thing happened to me. What’s the new strategy? $3.99 a WEEK and locking up all former functionality seems like a violation of terms of service.
AppleSupport,2023-03-01 23:24:30+00:00,"@FanArtWolf We’re here to help! The steps in this article can help resolve situations where your iPhone does not start up or has a black screen: https://t.co/bCcnzJAWMC

Meet us in DM if you need more help. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 23:20:20+00:00,@courtlouise19x Hi there. We are happy to help. Can you please reply to us in DM with your device’s model and software version? This will help us determine how to proceed. https://t.co/GDrqU22YpT
AppleSupport,2023-03-01 23:18:30+00:00,"@miguelvelasqz We want to help. We don’t see any outages at: https://t.co/waNYZdXpJm 

Have you tried restarting your iPhone to refresh the Wallet app? Let us know in DM so we can work on a solution together. https://t.co/GDrqU22YpT"
FanArtWolf,2023-03-01 23:16:05+00:00,Is anyone else having issues with their iPhone today? My screen keeps going black and resetting my phone?… @AppleSupport
AppleSupport,2023-03-01 23:12:14+00:00,"@lookingforavisa We understand that your iPhone will not power on. We’d like to point you towards a resolution. Get started by following the guidance listed here: https://t.co/bCcnzJAWMC

DM us if the issue persists. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 23:11:35+00:00,"@thekathanpatel We’ll help as best we can! If it’s an iPhone, review the following article. Included is a section with steps to report the weather in your location if it doesn’t match what’s shown in the Weather app: https://t.co/OqRFs5gCBT

Send a DM for more help. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 23:09:00+00:00,"@wauzipoo We can help. After your refund is approved, the time it takes to see the funds will vary based on the payment type that was used. There’s more info here: https://t.co/6k1OBRFUV5

Questions? Partner with our billing team at this link: https://t.co/IBIY3vMgPj"
miguelvelasqz,2023-03-01 23:08:42+00:00,@AppleSupport any news when this is going to be back online? https://t.co/iUd0AaQqSU
AppleSupport,2023-03-01 23:02:33+00:00,"@gldoorii We’d like to look at this further. Please DM us which iOS version you’re on, and how long this has been an issue, and we’ll get started. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 23:02:18+00:00,@TheMamaJenJen Hi there. We’d like to learn more to see how we can help. Which iPhone do you have and which iOS version is listed in Settings &gt; General &gt; About? Is this only happening with one specific email account? Are you seeing any errors when you send these emails? DM us: https://t.co/GDrqU22YpT
wauzipoo,2023-03-01 22:57:30+00:00,@AppleSupport @CashSupport still haven’t received my refund of almost 13$
EisenbahnerSH,2023-03-01 22:56:10+00:00,"@SFCCM Hello @AppleSupport, I‘m missing the Cable Car Emoji 😢

You guys need to fix this. https://t.co/WZGA2C2Iij"
notthetivanshow,2023-03-01 22:52:11+00:00,@AppleSupport maybe i can pay to call them? on someplace online
notthetivanshow,2023-03-01 22:51:43+00:00,@AppleSupport i would love to but i live in morocco none of the countries in that list are even remotely close to where i am. Is there anything else i can do?
gldoorii,2023-03-01 22:48:47+00:00,"@AppleSupport I’m subscribed to Apple One family that should include Apple Arcade, but it does not. How do I enable it? https://t.co/HidGUPtU7e"
AppleSupport,2023-03-01 22:48:28+00:00,"@JT_FINNasty We’d like to help. It looks like the size before it opens fully after touching. Let’s look into this further, please follow the link to DM us which iOS version you’re on. https://t.co/GDrqU22YpT"
bigmike_ak,2023-03-01 22:40:53+00:00,"@AppleSupport OK Apple, when did it change that after you type out a search term or phrase, that it won’t search until you click a space between what you typed &amp; cursor. It didn’t do that until very recently. And it’s annoying to no end. Please fix it &amp; put it back. #soannoying https://t.co/u2XEnBpLVF"
JT_FINNasty,2023-03-01 22:38:09+00:00,"Hey @AppleSupport, why is my phone icon suddenly larger than the rest??? https://t.co/xDKJwnxMVp"
AppleSupport,2023-03-01 22:34:11+00:00,"@notthetivanshow Thanks for letting us know! For this, we recommend calling our Apple ID experts instead. Here’s a list of phone support numbers, by region: https://t.co/7sZJAkpB4k

Let us know if you have other questions. Take care!"
mikeredes,2023-03-01 22:28:02+00:00,@AppleSupport @Apple your mail client is shit
AppleSupport,2023-03-01 22:26:30+00:00,"@She_SuckaFREE It’s important to us that you’re able to depend on your iPhone when taking multiple calls, and we’re here to help. 

Try the steps outlined on the following page: https://t.co/ONMchIQbzk 

If you have questions or need more help, DM us. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 22:24:55+00:00,@dbowthegreat You’ve come to the right place. We’re here for you and want to do all we can to help you. Please meet us in DM to check your service and warranty options. https://t.co/GDrqU22YpT
CoffeeCat086,2023-03-01 22:17:52+00:00,"@AppleSupport Also, it is marked as do not include in the settings for the dock"
bhanusoi,2023-03-01 22:17:05+00:00,Why No One is talking about 5G on Cellular iPads in India When will @AppleSupport Enable it or they are Lacking support from Indian Carriers @airtelindia @reliancejio #Airtel5GPlus #JioTrue5G @gauravh1 @varunkrish @nawabnabeel #MWC2023 #5G
AppleSupport,2023-03-01 22:15:55+00:00,"@notthetivanshow We’re happy to help and to get you pointed in the right direction to get help with your Apple ID. Reach out to our support team here: https://t.co/NpQJidgpDA If you need more help and find a way to reach us in DM, we can continue from there. https://t.co/GDrqU22YpT"
BruceQBurke,2023-03-01 22:13:42+00:00,Pretty sad showing from the @AppleSupport “senior advisors” I spoke with today. I had to go through 4 of them before one of them could discern what the engineers were looking for from their requests @tim_cook First ones had me looking for “Settings” in the Apple TV remote app 🧵
frenchie_lee,2023-03-01 22:13:30+00:00,"@AppleSupport I sent a DM, waiting on a response"
AppleSupport,2023-03-01 22:11:44+00:00,"@SergioA29577654 We want to help with your Safari question. Safari is the Apple designed web browser. You can read more here: https://t.co/kml4OPeYi7 

Send us a DM if you still need help, so we can work together on a solution. https://t.co/GDrqU22YpT"
AppleSupport,2023-03-01 22:08:54+00:00,"@SADSIL3NCE We’re happy to help! If you haven’t yet, try restarting your iPhone and attempt adding the pass once more. 

Follow this article for steps to restart your iPhone, as this can help resolve the issue - https://t.co/NIfrC93f39 

For more help, meet us in DM. https://t.co/GDrqU22YpT"
notthetivanshow,2023-03-01 22:06:33+00:00,@AppleSupport i have 2factor auth and i can even show you my id card and anything you might possibly need. i tried everything and nothing has worked so far
AppleSupport,2023-03-01 22:03:39+00:00,"@sdepew02 Thanks for reaching out. We’re here to help. 

To get started, send us a DM including which device you’re using, the software version installed, and the exact issue you’re experiencing with Apple Maps. 

This will help determine next steps. https://t.co/GDrqU22YpT"
